date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:26	7116/7116	---M--	200	added ('OK')	application/javascript	etag:%221bcc-560210e14a81d%22	http://qbgrow.com/magen/iot-admin/js/ResizeSensor.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/ResizeSensor.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:27	4192/4192	---M--	200	added ('OK')	application/javascript	etag:%221060-560210e4a104b%22	http://qbgrow.com/magen/iot-admin/js/dashboard.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/dashboard.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:32	66188/66188	---M--	200	added ('OK')	application/javascript	etag:%221028c-5602119d91d43%22	http://qbgrow.com/magen/iot-admin/lib/gmaps/gmaps.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/gmaps/gmaps.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:34	1148/1148	---M--	200	added ('OK')	text/css	etag:%2247c-560211566e7bb%22	http://qbgrow.com/magen/iot-admin/lib/highlightjs/github.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/highlightjs/github.css	(from http://qbgrow.com/magen/iot-admin/app/form-elements.html)
14:09:34	15196/15196	---M--	200	added ('OK')	text/css	etag:%223b5c-560212245d706%22	http://qbgrow.com/magen/iot-admin/lib/select2/css/select2.min.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/select2/css/select2.min.css	(from http://qbgrow.com/magen/iot-admin/app/form-elements.html)
14:09:35	14921/14921	---M--	200	added ('OK')	text/css	etag:%223a49-560211a4b40ab%22	http://qbgrow.com/magen/iot-admin/lib/spectrum/spectrum.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/spectrum/spectrum.css	(from http://qbgrow.com/magen/iot-admin/app/form-elements.html)
14:09:38	43710/43710	---MC-	200	added ('OK')	text/javascript	date:Mon,%2005%20Nov%202018%2021:10:09%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Iot/www.google-analytics.com/analytics.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:55	337945/337945	---M--	200	added ('OK')	application/javascript	etag:%2252819-5602119f95772%22	http://qbgrow.com/magen/iot-admin/lib/d3/d3.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/d3/d3.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:10:07	66606/66606	---M--	200	added ('OK')	application/javascript	etag:%221042e-560212241fea0%22	http://qbgrow.com/magen/iot-admin/lib/select2/js/select2.min.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/select2/js/select2.min.js	(from http://qbgrow.com/magen/iot-admin/app/form-elements.html)
14:10:20	79270/79270	---M--	200	added ('OK')	application/javascript	etag:%22135a6-560211a705ce1%22	http://qbgrow.com/magen/iot-admin/lib/spectrum/spectrum.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/spectrum/spectrum.js	(from http://qbgrow.com/magen/iot-admin/app/form-elements.html)
14:10:26	398336/398336	---M--	200	added ('OK')	application/javascript	etag:%2261400-5602111c040bf%22	http://qbgrow.com/magen/iot-admin/lib/chart.js/Chart.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/chart.js/Chart.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
