date,reading
Tue Feb 26 20:44:36 2019	,27.57
Tue Feb 26 20:47:36 2019	,27.57
Tue Feb 26 20:50:36 2019	,27.57
Tue Feb 26 20:53:37 2019	,27.57
Tue Feb 26 20:56:37 2019	,27.57
Tue Feb 26 20:59:38 2019	,27.57
Tue Feb 26 21:02:38 2019	,27.57
Tue Feb 26 21:05:38 2019	,27.57
Tue Feb 26 21:08:39 2019	,27.57
Tue Feb 26 21:11:39 2019	,27.57
Tue Feb 26 21:14:39 2019	,27.57
Tue Feb 26 21:17:40 2019	,27.57
Tue Feb 26 21:20:40 2019	,27.57
Tue Feb 26 21:23:41 2019	,27.57
Tue Feb 26 21:26:41 2019	,27.57
Tue Feb 26 21:29:41 2019	,27.57
Tue Feb 26 21:32:42 2019	,27.57
Tue Feb 26 21:35:42 2019	,27.57
Tue Feb 26 21:38:42 2019	,27.57
Tue Feb 26 21:41:43 2019	,27.57
Tue Feb 26 21:44:43 2019	,27.57
Tue Feb 26 21:47:43 2019	,27.57
Tue Feb 26 21:50:44 2019	,27.57
Tue Feb 26 21:53:44 2019	,27.57
Tue Feb 26 21:56:44 2019	,27.57
Tue Feb 26 21:59:45 2019	,27.57
Tue Feb 26 22:02:45 2019	,27.57
Tue Feb 26 22:05:45 2019	,27.57
Tue Feb 26 22:08:46 2019	,27.57
Tue Feb 26 22:11:46 2019	,27.57
Tue Feb 26 22:14:46 2019	,27.57
Tue Feb 26 22:17:47 2019	,27.57
Tue Feb 26 22:20:47 2019	,27.57
Tue Feb 26 22:23:48 2019	,27.57
Tue Feb 26 22:26:48 2019	,27.57
Tue Feb 26 22:29:48 2019	,27.57
Tue Feb 26 22:32:49 2019	,27.57
Tue Feb 26 22:35:49 2019	,27.57
Tue Feb 26 22:38:49 2019	,27.57
Tue Feb 26 22:41:50 2019	,28.26
Tue Feb 26 22:44:50 2019	,27.57
Tue Feb 26 22:47:51 2019	,28.26
Tue Feb 26 22:50:51 2019	,28.26
Tue Feb 26 22:53:51 2019	,28.26
Tue Feb 26 22:56:52 2019	,28.26
Tue Feb 26 22:59:52 2019	,28.26
Tue Feb 26 23:02:52 2019	,28.26
Tue Feb 26 23:05:53 2019	,28.26
Tue Feb 26 23:08:53 2019	,28.26
Tue Feb 26 23:11:53 2019	,28.26
Tue Feb 26 23:14:54 2019	,28.26
Tue Feb 26 23:17:54 2019	,28.26
Tue Feb 26 23:20:54 2019	,28.26
Tue Feb 26 23:23:55 2019	,28.26
Tue Feb 26 23:26:55 2019	,28.26
Tue Feb 26 23:29:55 2019	,28.26
Tue Feb 26 23:32:56 2019	,28.26
Tue Feb 26 23:35:56 2019	,28.26
Tue Feb 26 23:38:56 2019	,28.26
Tue Feb 26 23:41:57 2019	,28.26
Tue Feb 26 23:44:57 2019	,28.26
Tue Feb 26 23:47:58 2019	,28.26
Tue Feb 26 23:50:58 2019	,28.26
Tue Feb 26 23:53:58 2019	,28.26
Tue Feb 26 23:56:59 2019	,28.26
Tue Feb 26 23:59:59 2019	,28.26
Wed Feb 27 00:02:59 2019	,28.26
Wed Feb 27 00:06:00 2019	,28.26
Wed Feb 27 00:09:00 2019	,28.26
Wed Feb 27 00:12:00 2019	,28.26
Wed Feb 27 00:15:01 2019	,28.26
Wed Feb 27 00:18:01 2019	,28.26
Wed Feb 27 00:21:01 2019	,28.26
Wed Feb 27 00:24:02 2019	,28.26
Wed Feb 27 00:27:02 2019	,28.26
Wed Feb 27 00:30:03 2019	,28.26
Wed Feb 27 00:33:03 2019	,28.26
Wed Feb 27 00:36:03 2019	,28.26
Wed Feb 27 00:39:04 2019	,28.26
Wed Feb 27 00:42:04 2019	,28.26
Wed Feb 27 00:45:04 2019	,28.26
Wed Feb 27 00:48:05 2019	,28.26
Wed Feb 27 00:51:05 2019	,28.26
Wed Feb 27 00:54:05 2019	,28.26
Wed Feb 27 00:57:06 2019	,28.26
Wed Feb 27 01:00:06 2019	,28.26
Wed Feb 27 01:03:07 2019	,28.26
Wed Feb 27 01:06:07 2019	,28.26
Wed Feb 27 01:09:07 2019	,28.26
Wed Feb 27 01:12:08 2019	,28.26
Wed Feb 27 01:15:08 2019	,28.26
Wed Feb 27 01:18:08 2019	,28.26
Wed Feb 27 01:21:09 2019	,28.26
Wed Feb 27 01:24:09 2019	,28.26
Wed Feb 27 01:27:09 2019	,28.26
Wed Feb 27 01:30:10 2019	,28.26
Wed Feb 27 01:33:10 2019	,28.26
Wed Feb 27 01:36:10 2019	,28.26
Wed Feb 27 01:39:11 2019	,28.26
Wed Feb 27 01:42:11 2019	,28.26
Wed Feb 27 01:45:11 2019	,28.26
Wed Feb 27 01:48:12 2019	,28.26
Wed Feb 27 01:51:12 2019	,28.26
Wed Feb 27 01:54:13 2019	,28.26
